Country,Year,pop,Region,SubRegion,ISO3166_alpha3,elect_twh,electbyfuel_total,electbyfuel_coal,electbyfuel_gas,electbyfuel_oil,electbyfuel_nuclear,electbyfuel_hydro,hydro_twh,electbyfuel_ren_power,wind_twh,solar_twh,electbyfuel_other,biogeo_twh,co2_combust_mtco2,co2_combust_pc,ren_power_share
Argentina,1985,30.336441,S. & Cent. America,South America,ARG,45.303728,45.303728,0.607,12.45159733,5.706,5.766,20.65312426,20.65312426,0.120006409,0,0,0.0,0.120006409,94.63336494,0.05768418,45.85302708200967
Argentina,1986,30.81198,S. & Cent. America,South America,ARG,49.022193,49.022193,1.013,13.2499565,7.894,5.711,21.03024626,21.03024626,0.123990246,0,0,0.0,0.123990246,100.0091461,0.059553092,43.152366737244904
Argentina,1987,31.291762,S. & Cent. America,South America,ARG,52.115279,52.115279,1.016,12.53777545,10.078,6.465,21.91251726,21.91251726,0.105986293,0,0,0.0,0.105986293,104.6230584,0.061280597,42.24961273449194
Argentina,1988,31.780532,S. & Cent. America,South America,ARG,52.49952,52.49952,1.586,21.0674148,8.635,5.798,15.25914391,15.25914391,0.122961293,0,0,0.031,0.122961293,109.9490784,0.061326167,29.299515887002396
Argentina,1989,32.270948,S. & Cent. America,South America,ARG,50.862813,50.862813,0.865,24.33541852,7.204,5.039,13.18739293,13.18739293,0.106001549,0,0,0.126,0.106001549,107.2079827,0.058244575,26.13578308970052
Argentina,1990,32.755901,S. & Cent. America,South America,ARG,51.004894,51.004894,0.66,19.84969691,4.944,7.281,17.71317528,17.71317528,0.133021814,0,0,0.424,0.133021814,100.2565356,0.056449423,34.9891857318633
Argentina,1991,33.230294,S. & Cent. America,South America,ARG,53.85427,53.85427,0.926,20.96700829,7.619,7.756,15.8692536,15.8692536,0.131008101,0,0,0.586,0.131008101,102.8375518,0.056600496,29.710293540326514
Argentina,1992,33.693527,S. & Cent. America,South America,ARG,56.107097,56.107097,0.834,20.79502014,7.661,7.081,19.16509093,19.16509093,0.129985929,0,0,0.441,0.129985929,108.8848592,0.059869621,34.389725882627644
Argentina,1993,34.152717,S. & Cent. America,South America,ARG,61.868779,61.868779,1.18,21.99447666,6.693,7.75,23.76830726,23.76830726,0.095995087,0,0,0.387,0.095995087,107.6799243,0.061013891,38.572447578123366
Argentina,1994,34.613491,S. & Cent. America,South America,ARG,65.622035,65.622035,2.348,22.719354,4.557,8.235,27.2866766,27.2866766,0.099004399,0,0,0.377,0.099004399,113.9837771,0.063565814,41.732447033987896
Argentina,1995,35.07002,S. & Cent. America,South America,ARG,67.169254,67.169254,1.908,26.50055627,4.585,7.066,26.5036816,26.5036816,0.119016124,0,0,0.487,0.119016124,118.9270365,0.064737507,39.635244012089224
Argentina,1996,35.513793,S. & Cent. America,South America,ARG,69.75982,69.75982,1.917,32.5454954,4.624,7.459,22.47168595,22.47168595,0.232638649,0,0,0.51,0.223020649,126.3387332,0.066812805,32.54642084655608
Argentina,1997,35.947792,S. & Cent. America,South America,ARG,72.46247,72.46247,1.896,32.18845421,2.042,7.961,27.92466528,27.92466528,0.193350514,0,0,0.257,0.178758514,125.0137139,0.066995315,38.80355692263871
Argentina,1998,36.37286,S. & Cent. America,South America,ARG,74.169556,74.169556,1.808,34.26260049,3.81,7.453,26.47550426,26.47550426,0.239451257,0,0,0.121,0.206893257,131.9549865,0.068714021,36.0187615482018
Argentina,1999,36.794682,S. & Cent. America,South America,ARG,80.744735,80.744735,2.106,45.73213742,3.831,7.106,21.3967906,21.3967906,0.296806974,0,0,0.276,0.261999974,136.4604226,0.06903099,26.86688806892486
Argentina,2000,37.213984,S. & Cent. America,South America,ARG,88.977961,88.977961,1.781,48.8798971,2.883,6.177,28.5752416,28.5752416,0.420822296,0,0,0.261,0.386028296,131.3973829,0.068068091,32.58791679436215
Argentina,2001,37.624826,S. & Cent. America,South America,ARG,90.13777079,90.13777079,1.362,43.25819528,1.004,7.059,36.58017326,36.58017326,0.412402251,0,0,0.462,0.362998251,120.7017499,0.065765801,41.040038140264286
Argentina,2002,38.029349,S. & Cent. America,South America,ARG,84.59000837,84.59000837,0.811,40.70573991,0.759,5.821,35.77883626,35.77883626,0.603432202,0,0,0.111,0.529980202,116.0104695,0.062303031,43.010125147242604
Argentina,2003,38.424282,S. & Cent. America,South America,ARG,92.05944302,92.05944302,0.937,47.7472489,1.011,7.566,33.80057658,33.80057658,0.95861754,0,0,0.039,0.88059854,125.4294163,0.06602929,37.757336976771114
Argentina,2004,38.815916,S. & Cent. America,South America,ARG,100.260821,100.260821,1.678,55.20938965,4.039,7.869,30.462403,30.462403,0.940028348,0,0,0.063,0.867512348,137.1085468,0.069666403,31.320740279994308
Argentina,2005,39.21679,S. & Cent. America,South America,ARG,105.750115,105.750115,2.18,55.69967854,5.746,6.873,34.216136,34.216136,0.988300464,0,0,0.047,0.916499799,145.2532453,0.073104416,33.29021104516057
Argentina,2006,39.622115,S. & Cent. America,South America,ARG,113.423565,113.423565,1.994,56.39931299,8.036,7.721,38.015213,38.015213,1.116039012,0,0,0.142,1.046309012,151.1746808,0.07596294,34.500107638126174
